word,pdf,executable,compressed,dump,excel,image,textFiles,compressed/jar,Videos
.doc,.pdf,.exe,.arc,.dmp,.xlsx,.jpg,.txt,.jar,.mp4
.dot,,,.arj,,.csv,.gif,,,.mkv
.docx,,,.as,,,.png,,,
.wbk,,,.b64,,,.tga,,,
.docm,,,.btoa,,,.jpeg,,,
.dotx,,,.bz,,,,,,
.dotm,,,.cab,,,,,,
.docb,,,.cpt,,,,,,
,,,.gz,,,,,,
,,,.hqx,,,,,,
,,,.iso,,,,,,
,,,.lha,,,,,,
,,,.lzh,,,,,,
,,,.mim,,,,,,
,,,.mme,,,,,,
,,,.pak,,,,,,
,,,.pf,,,,,,
,,,.rar,,,,,,
,,,.rpm,,,,,,
,,,.sea,,,,,,
,,,.sit,,,,,,
,,,.sitx,,,,,,
,,,.tar,,,,,,
,,,.gz,,,,,,
,,,.tbz,,,,,,
,,,.tbz2,,,,,,
,,,.tgz,,,,,,
,,,.uu,,,,,,
,,,.uue,,,,,,
,,,.z,,,,,,
,,,.zip,,,,,,
,,,.zipx,,,,,,
,,,.zoo,,,,,,
